Samples,Clades,Subclades,Initial Reads,Filtered Reads,Initial Clusters,Filtered Clusters,Heterozigosity (H),Error (H),Final Clusters,Loci Retained,Used in Conservative Trees,Used in Strict Trees
MZUSP31950,B,CER,1282946,1281710,187577,59812,0.0047,0.0017,58297,15948,YES,-
MZUSP31951,B,CER,468984,468544,133021,33395,0.0042,0.0019,32304,8353,YES,-
NUTRIA289,OUT,OUT,2242635,2240340,328132,68584,0.0049,0.0017,66073,1412,YES,-
PLVP642,A,NSR,787514,786738,178944,42602,0.0053,0.0029,40633,2961,YES,-
PNPA321,D,PTC,938349,937507,147346,47426,0.006,0.002,45925,8767,YES,-
PNPA357,D,PTC,808389,807577,182576,51617,0.0058,0.0023,49762,9779,YES,-
RGM853,A,PTI,123404,123300,48415,3482,0.0082,0.0044,3212,534,YES,-
RGM856,A,PTI,2279300,2277207,258347,64778,0.007,0.002,62392,12652,YES,-
ROM115116,TEP,TEP,238801,238591,70571,10508,0.0078,0.0025,9977,411,YES,-
ROM117526,C,GUS,866998,866295,169553,46251,0.0053,0.0016,44776,7295,YES,-
ROM119901,D,NAR,1560168,1558720,248007,59858,0.0055,0.0027,57605,9396,YES,-
TTU100580,D,SEM,3093367,3090214,397422,73030,0.0058,0.0015,70134,7716,YES,-
TTU101118,E,IQT,1836157,1834449,286697,63188,0.0069,0.0027,60790,8712,YES,YES
TTU101173,D,LOR,1636788,1635185,352978,60685,0.0051,0.003,57877,9016,YES,YES
TTU101179,D,NSM,855803,855032,222638,45829,0.0069,0.0032,43551,6554,YES,-
TTU101195,D,NSM,1310786,1309607,301533,55506,0.0078,0.0029,52837,7987,YES,-
TTU101213,D,NSM,1915489,1913686,378740,68192,0.0076,0.003,64779,10250,YES,YES
TTU102638,D,ECU,1382556,1381189,211174,53709,0.0059,0.0016,51865,4933,YES,-
TTU102971,D,SEM,1440289,1438765,264596,61803,0.0066,0.0017,59645,6079,YES,-
TTU102977,D,SEM,3233333,3230335,304958,62083,0.0079,0.0021,59344,5615,YES,-
TTU103310,D,ECU,892003,891314,157133,31164,0.0061,0.0021,29649,2726,YES,-
TTU106013,C,GUS,2039625,2037504,294435,62661,0.0063,0.0016,60233,9207,YES,YES
UFMG4356,B,XAI,833062,832334,155481,44778,0.006,0.0019,43533,9536,YES,-
UFPB6929,B,CER,287208,286904,137079,11526,0.0067,0.0032,10830,2972,YES,-
UFPB6931,B,CER,383739,383329,154586,21081,0.0062,0.0028,19943,5653,YES,-
UFPB6932,B,CER,385782,385360,154533,21726,0.0062,0.0027,20600,5642,YES,-
UMMZ92712,-,-,1501,1497,341,44,0,0.001,44,NaN,-,-
UNIBAN1392,-,-,2272923,2270803,424651,101336,0.0066,0.0031,95969,18,-,-
USNM499715,D,MAR,94827,94713,59833,934,0.0151,0.007,781,68,YES,-
USNM549559,D,SAR,1413419,1412033,279142,54892,0.005,0.0031,52545,8395,YES,YES
USNM549567,D,SAR,155285,155147,45256,10454,0.0045,0.0024,10053,1501,YES,-
USNM568055,D,NAR,2147286,2145116,328274,63699,0.006,0.0016,61240,9971,YES,-
USNM579697,E,WAM,732374,731663,184914,38285,0.0057,0.0029,36507,7855,YES,-
USNM581908,D,PTC,460827,460435,134748,31038,0.0059,0.0027,29538,5384,YES,-
USNM584593,D,SCE,2479653,2477161,337134,66992,0.0076,0.0015,64331,11416,YES,YES
USNM619001,E,WAM,547292,546776,169348,38171,0.0047,0.0029,36361,8004,YES,-
USNM619002,A,MMR,590866,590284,187808,39019,0.0063,0.0031,36796,6228,YES,-
USNM619003,E,WAM,1977765,1975941,374247,65072,0.0066,0.0027,62080,12218,YES,-
USNM619004,C,NRB,2387856,2385490,301986,65780,0.0073,0.0015,63319,9595,YES,-
USNM619005,D,SCE,1026413,1025374,204138,52318,0.0062,0.0016,50657,9054,YES,-
USNM619006,D,SCE,1905902,1903979,252959,64256,0.0066,0.0015,62111,11114,YES,-
USNM619007,E,WAM,1510365,1508785,239575,58534,0.0068,0.0015,56715,11576,YES,-
USNM619008,E,WAM,2476190,2473754,351297,68969,0.0063,0.0015,66527,13159,YES,-
X1M15,D,SAR,1357606,1356316,198154,62148,0.0048,0.0018,60294,10836,YES,YES
X1M19,B,XAI,422439,422024,111943,31681,0.0066,0.0021,30603,7224,YES,-
X1M24,D,SAR,1072492,1071421,158582,51832,0.0048,0.0019,50288,8825,YES,-
X1M36,A,EAM,2394628,2392385,319232,71479,0.007,0.0019,68925,11300,YES,YES
Z9P01,B,CER,2539137,2536748,331317,71054,0.0055,0.0018,68857,19039,YES,-
