Catalog Number,Alternative Number,Source,Species,longitude,latitude,RB,IOC,ZB,MB,GSL,NL,RL,OL,RD,CDM1,BaL,PLa,CIL,MTRL,MaxB,D,IFL,IFW,BuL,OccW,LMD,MD
MPEG28567,,MPEG,P. steerei,-68.91651,-6.53356,9.88,13.68,27.75,21.43,59.1,22.74,23.51,15.48,11.47,15.96,40.58,19.81,48.53,9.11,9.85,12.19,5.77,2.85,11.58,9.71,7.66,31.84
AMNH263056,,AMNH,P. steerei,-67.2,-11.38333,9.77,12.35,27.98,23.23,62.49,24.69,24.92,15.54,12.1,16.92,43.63,20.32,51.74,8.76,9.83,12.15,5.64,2.79,12.15,10.87,7.93,32.9
AMNH263057,,AMNH,P. steerei,-67.21667,-11.4,8.83,11.46,25.08,20.38,54.23,18.5,20.64,14.23,10.37,14.56,37.98,18.58,44.39,8.59,9.34,10.92,4.54,2.61,10.57,10.1,6.58,27.93
AMNH263108,,AMNH,P. steerei,-66.21667,-11.01667,8.83,12.71,26.74,20.58,56.49,20.75,22.24,14.49,11.32,15.38,39.4,19.61,46.34,8.19,9.95,11.68,5.89,3.11,10.61,9.28,7.24,30.71
AMNH263109,,AMNH,P. steerei,-67.2,-11.38333,8.88,11.77,26.17,21.56,55.8,20.58,22.27,13.86,10.67,14.26,40.46,18.25,46.74,9.18,9.48,11.63,5.87,2.87,10.73,9.91,6.71,30.11
AMNH263112,,AMNH,P. steerei,-68.57543,-12.39863,9.32,13.35,27.75,22.74,61.58,23.51,23.85,14.78,11.93,15.88,43.51,21.67,50.72,9.41,10.22,13.13,6.65,2.78,11.21,10.26,7.8,33.61
AMNH263113,,AMNH,P. steerei,-68.57543,-12.39863,8.06,11.73,24.21,20.12,53,20.41,20.93,13.38,10.08,13.97,37,17.81,43.16,8.83,8.91,10.24,5.5,2.69,10.63,9.63,6.23,28.03
MVZ168942,,MVZ,P. steerei,-69.07289,-12.6,8.28,10.89,24.1,20.13,51.97,19.32,20.65,14.11,9.91,13.84,37.1,18.77,43.67,8.83,8.8,10.6,4.17,2.07,10.79,10.06,6.57,28.87
MVZ168943,,MVZ,P. steerei,-69.07289,-12.6,7.48,11.18,24.23,19.69,53.51,20.05,20.64,13.52,9.68,14.01,37.44,19.26,43.98,8.91,8.96,10.44,5,2.18,9.5,9.71,6.64,29.05
USNM530931,,NMNH,P. steerei,-71.0451,-12.15612,10.13,13.67,29.64,22.33,64.94,24.74,26.39,16.84,12.75,17.43,45.25,23.04,53.44,8.77,10.35,14.08,6.77,2.95,12.13,9.3,8.98,33.43
USNM530932,,NMNH,P. steerei,-71.0451,-12.15612,8,11.42,24.76,20.46,54.37,19.9,21.93,14.31,10.34,14.59,39.2,19.54,45.74,8.45,9.16,11.44,4.54,2.69,9.87,8.75,7.01,29.17
USNM559415,,NMNH,P. steerei,-71.11199,-12.09053,8.66,10.64,25.66,19.92,56.69,21.23,22,14.63,10.79,14.93,39.77,20.03,46.85,8.86,9.46,11.98,5.88,2.47,10.64,9.57,7.1,30.25
USNM559426,,NMNH,P. steerei,-71.11199,-12.09053,8.66,11.13,26.13,20.31,57.53,22.09,23.18,14.81,10.58,14.71,39.97,20.25,47.38,8.01,9.27,12.4,5.33,2.49,9.79,9.68,7.9,31.04
MPEG28569,,MPEG,P. steerei,-72.85094,-8.60044,8.22,11.24,25.83,20.87,55.52,20.51,21.13,14.87,10.29,14.75,39.11,19.16,45.76,8.95,9.29,11.78,5.97,2.93,10.43,10.36,6.91,29.05
MPEG28570,,MPEG,P. steerei,-72.85094,-8.60044,8.9,12.42,28.47,22.36,60.17,24.37,23.37,15.69,11.41,16.22,42.33,21.46,48.66,8.93,10.03,12.88,5.92,2.8,10.36,10.1,7.9,32.42
MPEG28571,,MPEG,P. steerei,-72.81662,-8.36666,9.67,12.29,25.13,20.3,56.31,21.11,22.73,14.53,11.04,14.93,39.46,18.84,46.54,9.2,9.01,12.03,7.09,2.79,10.62,9.64,7.16,29.74
MPEG28572,MVZ194874,MPEG,P. steerei,-72.81662,-8.36666,9.51,12.94,26.8,21.7,62.62,25.47,25.84,15.61,11.55,16.26,43.11,21.61,50.94,8.77,9.52,12.96,6.5,2.96,11.06,10.2,8.5,32.87
MPEG28573,,MPEG,P. steerei,-72.81667,-8.36666,9.53,11.92,25.78,20.74,55.92,20.61,21.56,14.85,10.38,14.41,39.47,19.43,46.13,8.81,9.37,11.72,5.41,2.74,10.13,10.24,6.9,30.46
MPEG28574,,MPEG,P. steerei,-72.81667,-8.36666,8.78,11.99,26.58,20.65,55.11,20.21,21.21,14.5,10.13,14.76,38.73,18.86,45.92,8.71,9.48,11.22,6.18,2.5,10.88,9.63,6.7,30.54
MPEG28575,MVZ194879,MPEG,P. steerei,-72.81667,-8.36666,8.56,11.66,26.99,21.12,55.84,21.47,22.29,14.41,10.77,15.22,38.53,18.98,45.32,8.89,9.09,11.61,5.55,2.73,10.24,9.8,6.85,29
MPEG28576,,MPEG,P. steerei,-72.81662,-8.36666,8.67,12.39,25.46,20.07,52.63,20.12,20.31,13.88,10.4,14.64,38.29,18.96,44.02,8.89,8.86,11.16,5.09,2.61,10.91,9.8,7.04,29.71
