Catalog Number,Alternative Number,Source,Species,longitude,latitude,RB,IOC,ZB,MB,GSL,NL,RL,OL,RD,CDM1,BaL,PLa,CIL,MTRL,MaxB,D,IFL,IFW,BuL,OccW,LMD,MD
MPEG28460,,MPEG,P. brevicauda,-72.81662,-8.36666,8.18,10.52,25.19,19.45,50.73,18.37,19.83,13.28,9.46,13.36,36.57,17.87,42.63,8.45,9.08,10.22,5.42,2.58,10.15,8.96,6.46,26.53
MUSM11258,,AMNH,P. brevicauda,-73.16208,-5.2495,7.95,11.01,25.75,19.68,53.12,21.9,20.81,13.62,10.48,14.11,38.51,18.29,44.3,8.63,9.79,11.03,5.6,3.04,10.11,9.51,6.02,28.72
MUSM11262,,AMNH,P. brevicauda,-73.16208,-5.2495,7.9,11.37,23.74,19.73,50.07,18.15,19.19,13.7,9.76,13.68,35.35,16.81,41.41,8.58,9.12,9.66,4.32,2.22,10.56,9.26,6.45,27.85
MUSM11297,,AMNH,P. brevicauda,-73.16208,-5.2495,8.59,13.05,25.46,21.18,57.87,21.21,21.77,14.76,11.32,16.04,40.37,19.62,46.25,8.46,9.9,11.74,6.15,2.71,10.73,9.51,6.72,30.59
MVZ190668,,MVZ,P. brevicauda,-72.78304,-8.66663,8.35,10.93,25.03,19.53,51.53,19.17,19.49,13.54,9.55,13.75,36.59,17.95,42.65,8.49,9.28,10.24,5.18,2.9,10.03,9.57,5.87,26.79
MVZ190678,,MVZ,P. brevicauda,-72.81667,-8.36666,8.91,11.51,24.1,19.41,52.98,18.08,20.05,13.45,9.99,13.82,37.53,17.64,43.42,8.44,8.95,10.61,5.4,2.7,10.26,9.49,6.5,28.65
AMNH263060,,AMNH,P. simonsi,-68.57543,-12.39863,9.48,13.01,27.48,22.39,60.48,23.2,24,15.44,11.28,15.35,41.72,18.92,48.69,8.7,9.88,11.91,4.93,2.83,11.29,9.74,7.52,32.51
AMNH263062,,AMNH,P. simonsi,-68.91681,-11.3501,8.46,11,24.63,20.94,53.77,21.43,21.36,13.46,10.67,13.77,37.82,17.54,44.09,8.03,9.46,10.89,3.61,2.83,10.01,9.04,6.63,28.09
AMNH268278,,AMNH,P. simonsi,-73.16208,-5.2495,9.38,12.39,27.79,21.53,62.17,24.42,25.82,15.45,12.13,16.25,43.2,20.49,49.83,9.22,10.52,13.15,5.51,2.97,10.25,9.44,7.31,31.31
AMNH272699,,AMNH,P. simonsi,-73.16208,-5.2495,9.35,11.84,27.12,20.38,57.23,22.5,23.75,14.72,11.35,15.33,39.52,18.45,45.73,8.87,10.13,11.81,4.73,2.78,10.58,9.62,7.2,30.11
AMNH272716,,AMNH,P. simonsi,-73.16208,-5.2495,8.88,11.71,26.39,19.75,57.18,22.04,22.57,14.45,11.65,15.02,38.17,17.64,44.77,7.85,9.45,11.3,5.41,2.37,9.67,9.52,6.92,28.92
AMNH272717,,AMNH,P. simonsi,-73.16208,-5.2495,8.3,11.95,24.49,19.89,57.03,21.99,22.56,14.4,11.33,14.61,38.38,17.71,44.78,8.65,9.55,11.46,4.32,2.66,10.16,9.73,6.87,28.81
EFA038,,LMUSP,P. simonsi,-62.26745,-4.42802,9.74,12.36,27.92,20.72,60.1,22.7,24,15.29,12.03,15.93,41.42,19,48.48,7.74,9.68,12.87,4.26,3.06,10.63,10.1,8.01,30.73
MJ158,,LMUSP,P. simonsi,-64.82581,-9.4455,8.66,11.56,25.43,19.31,55.68,19.67,21.92,14.32,10.4,14.33,37.67,16.87,44.7,8.59,9.12,10.86,4.87,3.06,10.8,10.09,6.92,28.07
MJ397,,LMUSP,P. simonsi,-64.83294,-9.43781,6.52,10.19,21.87,17.96,48.81,18.49,19.27,12.43,8.58,12.11,33.89,15.3,40,7.22,7.47,9.65,3.62,2.34,9.57,8.42,5.65,25.08
